,cluster,nuclei,cluster_alias
0,2587 MH Tac2 Glut_3,MH,2878
1,2588 MH Tac2 Glut_3,MH,2879
2,2589 MH Tac2 Glut_3,MH,2880
3,2590 MH Tac2 Glut_3,MH,2884
4,2591 MH Tac2 Glut_3,MH,2881
5,2592 MH Tac2 Glut_3,MH,2882
6,2596 MH Tac2 Glut_5,MH,2910
7,2598 MH Tac2 Glut_5,MH,2909
8,2613 AD Serpinb7 Glut_1,AD,5020
9,2614 AD Serpinb7 Glut_1,AD,5021
10,2615 AV Col27a1 Glut_1,AV,5022
11,2616 AV Col27a1 Glut_1,AV,5023
12,2617 PVT-PT Ntrk1 Glut_1,PVT,4788
13,2618 PVT-PT Ntrk1 Glut_1,PVT,5083
14,2619 PVT-PT Ntrk1 Glut_1,PVT,5087
15,2620 PVT-PT Ntrk1 Glut_2,PVT,5086
16,2621 PVT-PT Ntrk1 Glut_2,PVT,5090
17,2622 PVT-PT Ntrk1 Glut_2,PVT,5092
18,2623 PVT-PT Ntrk1 Glut_2,PVT,5085
19,2624 PVT-PT Ntrk1 Glut_3,PVT,5079
20,2625 PVT-PT Ntrk1 Glut_3,PVT,5093
21,2626 PVT-PT Ntrk1 Glut_3,PVT,5084
22,2627 PVT-PT Ntrk1 Glut_4,PVT,5078
23,2628 PVT-PT Ntrk1 Glut_4,PVT,5077
24,2629 PVT-PT Ntrk1 Glut_4,PVT IMD RH,5089
25,2630 PVT-PT Ntrk1 Glut_5,MD PT PVT,5081
26,2631 PVT-PT Ntrk1 Glut_5,PVT,5082
27,2632 PVT-PT Ntrk1 Glut_6,PT,5094
28,2633 CM-IAD-CL-PCN Sema5b Glut_1,PCN CL,5036
29,2634 CM-IAD-CL-PCN Sema5b Glut_1,PCN CL,5038
30,2635 CM-IAD-CL-PCN Sema5b Glut_1,PCN CL,5039
31,2636 CM-IAD-CL-PCN Sema5b Glut_1,CM,5100
32,2640 CM-IAD-CL-PCN Sema5b Glut_3,PVT IMD,5091
33,2641 CM-IAD-CL-PCN Sema5b Glut_3,IMD,5099
34,2642 CM-IAD-CL-PCN Sema5b Glut_3,CM,5102
35,2643 CM-IAD-CL-PCN Sema5b Glut_4,IAD,5037
36,2644 CM-IAD-CL-PCN Sema5b Glut_4,IAD,5101
37,2645 CM-IAD-CL-PCN Sema5b Glut_4,IAD,5104
38,2646 CM-IAD-CL-PCN Sema5b Glut_5,CM,5096
