ccf,devccf,one_to_one
AD,AD,True
AM,AM,True
AV,AV,True
CL,CL,True
CM,CM,True
Eth,Eth,True
IAD,IAD,True
IAM,IAM,True
IMD,IMD,True
LD,LD,True
LGd,DLG,True
LP,LP,True
MD,MD,True
MG,MG,True
PCN,PC,True
PO,Po,True
POL,IPo,True
PT,PT,True
PVT,PVA,True
PoT,PoT,True
PR,VRe,True
RE,Re,True
RH,Rh,True
RT,Rt,True
SGN,SG,True
SMT,SubM,True
SPFm,SPFMC,True
SPFp,SPFPC,True
VAL,VL,True
VM,VM,True
VPL,VPL,True
VPM,VPM,True
SPA,ITThp,False
PF,ITThp,False
LH,Hbm,False
MH,Hbm,False
VPLpc,VPPC,False
VPMpc,VPPC,False
ZI,p3A,False
