neurotransmitter,class,subclass,supertype,cluster,neurotransmitter_color,class_color,subclass_color,supertype_color,cluster_color,num_cells_in_cluster
GABA,12 HY GABA,093 RT-ZI Gnb3 Gaba,0431 RT-ZI Gnb3 Gaba_1,1580 RT-ZI Gnb3 Gaba_1,#FF3358,#FF6600,#CCB65C,#99FFFC,#CC807A,72
GABA,12 HY GABA,093 RT-ZI Gnb3 Gaba,0431 RT-ZI Gnb3 Gaba_1,1581 RT-ZI Gnb3 Gaba_1,#FF3358,#FF6600,#CCB65C,#99FFFC,#FFBB73,128
GABA,12 HY GABA,093 RT-ZI Gnb3 Gaba,0431 RT-ZI Gnb3 Gaba_1,1582 RT-ZI Gnb3 Gaba_1,#FF3358,#FF6600,#CCB65C,#99FFFC,#66483D,181
GABA,12 HY GABA,093 RT-ZI Gnb3 Gaba,0431 RT-ZI Gnb3 Gaba_1,1583 RT-ZI Gnb3 Gaba_1,#FF3358,#FF6600,#CCB65C,#99FFFC,#81CC3D,78
GABA,12 HY GABA,093 RT-ZI Gnb3 Gaba,0431 RT-ZI Gnb3 Gaba_1,1584 RT-ZI Gnb3 Gaba_1,#FF3358,#FF6600,#CCB65C,#99FFFC,#8FFF26,47
GABA,12 HY GABA,093 RT-ZI Gnb3 Gaba,0431 RT-ZI Gnb3 Gaba_1,1585 RT-ZI Gnb3 Gaba_1,#FF3358,#FF6600,#CCB65C,#99FFFC,#FF7388,42
GABA,12 HY GABA,093 RT-ZI Gnb3 Gaba,0432 RT-ZI Gnb3 Gaba_2,1586 RT-ZI Gnb3 Gaba_2,#FF3358,#FF6600,#CCB65C,#93FF4D,#663E1F,104
GABA,12 HY GABA,093 RT-ZI Gnb3 Gaba,0432 RT-ZI Gnb3 Gaba_2,1587 RT-ZI Gnb3 Gaba_2,#FF3358,#FF6600,#CCB65C,#93FF4D,#0F2A66,49
GABA,12 HY GABA,093 RT-ZI Gnb3 Gaba,0432 RT-ZI Gnb3 Gaba_2,1588 RT-ZI Gnb3 Gaba_2,#FF3358,#FF6600,#CCB65C,#93FF4D,#CC5C83,238
GABA,12 HY GABA,093 RT-ZI Gnb3 Gaba,0432 RT-ZI Gnb3 Gaba_2,1589 RT-ZI Gnb3 Gaba_2,#FF3358,#FF6600,#CCB65C,#93FF4D,#3D6663,20
GABA,12 HY GABA,093 RT-ZI Gnb3 Gaba,0432 RT-ZI Gnb3 Gaba_2,1590 RT-ZI Gnb3 Gaba_2,#FF3358,#FF6600,#CCB65C,#93FF4D,#635C99,65
GABA,12 HY GABA,093 RT-ZI Gnb3 Gaba,0433 RT-ZI Gnb3 Gaba_3,1591 RT-ZI Gnb3 Gaba_3,#FF3358,#FF6600,#CCB65C,#29CC1F,#FF73C4,407
GABA,12 HY GABA,093 RT-ZI Gnb3 Gaba,0433 RT-ZI Gnb3 Gaba_3,1592 RT-ZI Gnb3 Gaba_3,#FF3358,#FF6600,#CCB65C,#29CC1F,#66411F,464
GABA,12 HY GABA,093 RT-ZI Gnb3 Gaba,0433 RT-ZI Gnb3 Gaba_3,1593 RT-ZI Gnb3 Gaba_3,#FF3358,#FF6600,#CCB65C,#29CC1F,#CC3D9F,465
GABA,12 HY GABA,093 RT-ZI Gnb3 Gaba,0433 RT-ZI Gnb3 Gaba_3,1594 RT-ZI Gnb3 Gaba_3,#FF3358,#FF6600,#CCB65C,#29CC1F,#009990,14
GABA,12 HY GABA,093 RT-ZI Gnb3 Gaba,0434 RT-ZI Gnb3 Gaba_4,1595 RT-ZI Gnb3 Gaba_4,#FF3358,#FF6600,#CCB65C,#179930,#4D3D66,31
GABA,12 HY GABA,093 RT-ZI Gnb3 Gaba,0434 RT-ZI Gnb3 Gaba_4,1596 RT-ZI Gnb3 Gaba_4,#FF3358,#FF6600,#CCB65C,#179930,#E4FF99,2
GABA,12 HY GABA,093 RT-ZI Gnb3 Gaba,0434 RT-ZI Gnb3 Gaba_4,1597 RT-ZI Gnb3 Gaba_4,#FF3358,#FF6600,#CCB65C,#179930,#3D1F66,50
GABA,12 HY GABA,093 RT-ZI Gnb3 Gaba,0434 RT-ZI Gnb3 Gaba_4,1598 RT-ZI Gnb3 Gaba_4,#FF3358,#FF6600,#CCB65C,#179930,#660F58,53
GABA,12 HY GABA,093 RT-ZI Gnb3 Gaba,0434 RT-ZI Gnb3 Gaba_4,1599 RT-ZI Gnb3 Gaba_4,#FF3358,#FF6600,#CCB65C,#179930,#66001F,21
GABA,12 HY GABA,093 RT-ZI Gnb3 Gaba,0435 RT-ZI Gnb3 Gaba_5,1600 RT-ZI Gnb3 Gaba_5,#FF3358,#FF6600,#CCB65C,#90995C,#010066,248
GABA,12 HY GABA,093 RT-ZI Gnb3 Gaba,0435 RT-ZI Gnb3 Gaba_5,1601 RT-ZI Gnb3 Gaba_5,#FF3358,#FF6600,#CCB65C,#90995C,#5C7E99,638
GABA,12 HY GABA,093 RT-ZI Gnb3 Gaba,0435 RT-ZI Gnb3 Gaba_5,1602 RT-ZI Gnb3 Gaba_5,#FF3358,#FF6600,#CCB65C,#90995C,#2E6642,281
GABA,12 HY GABA,093 RT-ZI Gnb3 Gaba,0435 RT-ZI Gnb3 Gaba_5,1603 RT-ZI Gnb3 Gaba_5,#FF3358,#FF6600,#CCB65C,#90995C,#26FF99,487
GABA,12 HY GABA,093 RT-ZI Gnb3 Gaba,0435 RT-ZI Gnb3 Gaba_5,1604 RT-ZI Gnb3 Gaba_5,#FF3358,#FF6600,#CCB65C,#90995C,#FFDC4D,3372
GABA,12 HY GABA,096 PVHd Gsc Gaba,0441 PVHd Gsc Gaba_1,1625 PVHd Gsc Gaba_1,#FF3358,#FF6600,#3B1FCC,#854599,#2E6663,16
GABA,12 HY GABA,097 PVHd-SBPV Six3 Prox1 Gaba,0442 PVHd-SBPV Six3 Prox1 Gaba_1,1626 PVHd-SBPV Six3 Prox1 Gaba_1,#FF3358,#FF6600,#2E3D66,#9D7ACC,#865C99,22
GABA,12 HY GABA,097 PVHd-SBPV Six3 Prox1 Gaba,0442 PVHd-SBPV Six3 Prox1 Gaba_1,1629 PVHd-SBPV Six3 Prox1 Gaba_1,#FF3358,#FF6600,#2E3D66,#9D7ACC,#2E6651,12
GABA,12 HY GABA,097 PVHd-SBPV Six3 Prox1 Gaba,0442 PVHd-SBPV Six3 Prox1 Gaba_1,1630 PVHd-SBPV Six3 Prox1 Gaba_1,#FF3358,#FF6600,#2E3D66,#9D7ACC,#3D6640,4
GABA,12 HY GABA,097 PVHd-SBPV Six3 Prox1 Gaba,0442 PVHd-SBPV Six3 Prox1 Gaba_1,1631 PVHd-SBPV Six3 Prox1 Gaba_1,#FF3358,#FF6600,#2E3D66,#9D7ACC,#95CC00,6
GABA,12 HY GABA,097 PVHd-SBPV Six3 Prox1 Gaba,0442 PVHd-SBPV Six3 Prox1 Gaba_1,1632 PVHd-SBPV Six3 Prox1 Gaba_1,#FF3358,#FF6600,#2E3D66,#9D7ACC,#FFD600,10
GABA,12 HY GABA,097 PVHd-SBPV Six3 Prox1 Gaba,0443 PVHd-SBPV Six3 Prox1 Gaba_2,1634 PVHd-SBPV Six3 Prox1 Gaba_2,#FF3358,#FF6600,#2E3D66,#663800,#4DCC3D,4
GABA,12 HY GABA,097 PVHd-SBPV Six3 Prox1 Gaba,0443 PVHd-SBPV Six3 Prox1 Gaba_2,1637 PVHd-SBPV Six3 Prox1 Gaba_2,#FF3358,#FF6600,#2E3D66,#663800,#993D2E,2
GABA,12 HY GABA,097 PVHd-SBPV Six3 Prox1 Gaba,0444 PVHd-SBPV Six3 Prox1 Gaba_3,1638 PVHd-SBPV Six3 Prox1 Gaba_3,#FF3358,#FF6600,#2E3D66,#661F47,#380066,4
